ID,time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.other,appCat.professional,appCat.recreation,appCat.convenience
AS14.01,2014-03-21,6.2,0.2,0.2,3.0831523917559385,1423.2499997615812,6.0,0.0,637.4630000000001,1473.5629999999996,50.465,55.023,1492.323,262.677
AS14.01,2014-03-22,6.4,0.6,0.5,3.79008350783933,1715.8189992904663,3.0,1.0,324.32900000000006,948.0269999999998,60.565000000000005,21.076,235.522,37.305
AS14.01,2014-03-23,6.8,0.2,0.8,2.141116737075955,1227.2550015449524,0.0,0.0,331.7729999999999,935.6040000000002,40.604,20.201999999999998,430.457,0.0
AS14.01,2014-03-24,6.0,0.8,0.0,1.8950653467743512,2790.2540016174316,10.0,0.0,573.0870000000001,2436.2450000000013,66.55799999999999,37.116,955.2219999999999,45.068999999999996
AS14.01,2014-03-25,6.75,0.5,0.5,2.360978697372162,1697.3759989738464,0.0,1.0,283.73699999999997,1726.9819999999995,111.226,22.073999999999998,540.9290000000001,41.807
AS14.01,2014-03-26,6.6,-0.2,0.6,2.4313997200818225,2855.8500006198883,0.0,0.0,366.26000000000005,2291.18,56.525,52.331,463.23199999999986,0.0
AS14.01,2014-03-27,7.0,0.2,0.8,3.509234101320145,2084.524999856949,2.0,1.0,517.677,2103.449,37.461,33.346,307.204,125.869
AS14.01,2014-03-28,6.4,-0.6,0.6,2.2967525192908838,1246.6359992027285,5.0,0.0,387.73400000000015,458.852,23.169,46.863,477.539,261.272
AS14.01,2014-03-29,8.0,0.2,1.0,1.6368674424448715,825.9260001182554,4.0,1.0,291.442,700.7909999999999,55.489,0.0,126.182,140.47899999999998
AS14.01,2014-03-30,7.5,-0.5,0.75,0.6873015873015881,295.07800054550177,0.0,0.0,191.516,249.71999999999994,61.695,0.0,38.281,0.0
AS14.01,2014-03-31,7.4,0.0,0.6,1.6921315412013493,1647.740999937057,6.0,0.0,572.5540000000002,1461.0000000000002,75.95599999999999,41.255,713.1990000000001,269.884
AS14.01,2014-04-01,6.0,0.2,0.0,2.8426378251056637,2592.179000377655,1.0,0.0,653.4899999999996,2236.064,49.382000000000005,187.63899999999998,2159.9610000000002,297.152
AS14.03,2014-04-10,7.4,0.4,1.0,2.593593578764668,1256.9730012416842,0.0,2.0,7.144,986.0310000000001,51.844,5.217,143.413,0.0
AS14.03,2014-04-11,7.6,0.2,1.0,2.8845139985223724,964.1069993972774,0.0,0.0,26.6,819.9939999999996,80.44,26.309,145.681,4.513
AS14.03,2014-04-12,7.666666666666667,0.3333333333333333,1.0,3.0488962145108283,355.61199951171875,6.0,0.0,34.767,90.499,68.83699999999999,0.0,57.671,9.33
AS14.03,2014-04-13,7.4,0.2,1.0,1.8753010119888427,791.3079991340637,1.0,1.0,24.662,457.5449999999999,30.384,33.391999999999996,177.33100000000005,0.0
AS14.03,2014-04-14,7.0,0.0,0.8,2.229510377227371,812.5700004100798,0.0,1.0,85.444,474.52699999999993,33.618,0.0,209.5,17.303
AS14.03,2014-04-15,7.6,0.2,0.8,2.8693199645133904,1740.628998041153,6.0,0.0,107.898,984.6749999999998,55.037000000000006,6.025,127.60799999999998,0.0
AS14.03,2014-04-16,8.0,0.8,1.0,2.7544360611587306,1219.6689999103546,2.0,0.0,73.12599999999999,525.081,118.393,18.113,193.71899999999997,7.662
