ID,time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
AS14.01,2014-03-21,6.2,0.2,0.2,3.0831523917559385,1423.2499997615812,6.0,0.0,637.4630000000001,1473.5629999999996,31.333000000000002,49.544000000000004,,5.479,50.465,1460.99,110.13499999999999,,152.542,
AS14.01,2014-03-22,6.4,0.6,0.5,3.79008350783933,1715.8189992904663,3.0,1.0,324.32900000000006,948.0269999999998,4.01,21.076,,0.0,60.565000000000005,231.512,37.305,,0.0,
AS14.01,2014-03-23,6.8,0.2,0.8,2.141116737075955,1227.2550015449524,0.0,0.0,331.7729999999999,935.6040000000002,4.028,20.201999999999998,,0.0,40.604,426.429,0.0,,0.0,
AS14.01,2014-03-24,6.0,0.8,0.0,1.8950653467743512,2790.2540016174316,10.0,0.0,573.0870000000001,2436.2450000000013,40.16900000000001,34.106,,3.01,66.55799999999999,915.0529999999999,35.004999999999995,,10.064,
AS14.01,2014-03-25,6.75,0.5,0.5,2.360978697372162,1697.3759989738464,0.0,1.0,283.73699999999997,1726.9819999999995,0.0,22.073999999999998,,0.0,31.68,540.9290000000001,0.0,79.546,41.807,
AS14.01,2014-03-26,6.6,-0.2,0.6,2.4313997200818225,2855.8500006198883,0.0,0.0,366.26000000000005,2291.18,2.024,52.331,,0.0,56.525,461.20799999999986,0.0,0.0,0.0,
AS14.01,2014-03-27,7.0,0.2,0.8,3.509234101320145,2084.524999856949,2.0,1.0,517.677,2103.449,16.054,20.055999999999997,,13.29,37.461,291.15000000000003,47.314,0.0,78.55499999999999,
AS14.01,2014-03-28,6.4,-0.6,0.6,2.2967525192908838,1246.6359992027285,5.0,0.0,387.73400000000015,458.852,4.023,46.863,41.125,0.0,23.169,432.391,191.72699999999998,0.0,69.545,
AS14.01,2014-03-29,8.0,0.2,1.0,1.6368674424448715,825.9260001182554,4.0,1.0,291.442,700.7909999999999,24.442999999999998,0.0,0.0,0.0,55.489,101.739,52.435,0.0,88.044,
AS14.01,2014-03-30,7.5,-0.5,0.75,0.6873015873015881,295.07800054550177,0.0,0.0,191.516,249.71999999999994,0.0,0.0,0.0,0.0,43.634,38.281,0.0,18.061,0.0,
AS14.01,2014-03-31,7.4,0.0,0.6,1.6921315412013493,1647.740999937057,6.0,0.0,572.5540000000002,1461.0000000000002,124.33099999999999,41.255,51.176,0.0,46.666,537.692,183.381,29.29,86.50300000000001,
AS14.01,2014-04-01,6.0,0.2,0.0,2.8426378251056637,2592.179000377655,1.0,0.0,653.4899999999996,2236.064,64.868,184.48,105.936,3.159,49.382000000000005,1989.1570000000002,96.609,0.0,200.543,
AS14.03,2014-04-10,7.4,0.4,1.0,2.593593578764668,1256.9730012416842,0.0,2.0,7.144,986.0310000000001,130.193,0.0,,5.217,51.844,13.22,0.0,0.0,0.0,
AS14.03,2014-04-11,7.6,0.2,1.0,2.8845139985223724,964.1069993972774,0.0,0.0,26.6,819.9939999999996,145.681,17.149,,9.16,52.096999999999994,0.0,0.0,28.343,4.513,
AS14.03,2014-04-12,7.666666666666667,0.3333333333333333,1.0,3.0488962145108283,355.61199951171875,6.0,0.0,34.767,90.499,57.671,0.0,,0.0,47.74099999999999,0.0,0.0,21.096,9.33,
